dataset,timestamp,status,n_rows,message
df_inflow,2026-09-25 17:56:36,success,52,NA
df_consumption,2026-09-25 17:56:37,success,21,NA
df_daily_mean,2026-09-25 17:56:39,success,13149,NA
df_groundwater,2026-09-25 17:56:51,success,240,NA
df_drought,2026-09-25 17:56:52,success,7,NA
df_drought_hist,2026-09-25 17:56:52,success,175,NA
df_stream_temp,2026-09-25 17:56:53,success,18374,NA
